SEQ;MATRICULA;LINHAFUNCIONAL;ANOLETIVO;TIPOCONTRATO;CARGO;CODESCOLA;ESCOLA;TURMA;CODTURNO;NOMETURNO;CODSERIE;NOMESERIE;CODDISCIPLINA;NOMEDISCIPLINA;DATAINICIO;DATAFINAL;CHDISCIPLINA;CH_DISCIPLINAMENSAL;CH_ATIVIDADEMENSAL;HP;HA;JORNADAMENSAL
229;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;02/05/21;30/09/21;20;90;0;0;0;190
230;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;02/05/21;30/09/21;20;90;0;0;0;190
231;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C42101;1;MANHA;20;CICLO IV  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
232;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C42101;1;MANHA;20;CICLO IV  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
233;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C42101;1;MANHA;20;CICLO IV  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
234;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C42101;1;MANHA;20;CICLO IV  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
235;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C42101;1;MANHA;20;CICLO IV  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
236;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41103;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
237;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41103;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
238;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41103;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
239;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41103;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
240;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41103;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
241;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41102;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
242;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41102;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
243;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41102;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
244;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41102;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
245;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41102;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
246;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41101;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
247;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41101;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
248;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41101;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
249;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41101;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
250;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C41101;1;MANHA;19;CICLO IV  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;15;90;0;0;0;190
251;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
252;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
253;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
254;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
255;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C31101;1;MANHA;17;CICLO III  -  1º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
256;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C32302;3;TARDE  ;18;CICLO III  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
257;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C32302;3;TARDE  ;18;CICLO III  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
258;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C32302;3;TARDE  ;18;CICLO III  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
259;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C32302;3;TARDE  ;18;CICLO III  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
260;247227;13;2021;PSS;PROFESSOR SUBSTITUTO;41;EMEF MARIA MADALENA RAAD;C32302;3;TARDE  ;18;CICLO III  -  2º ANO;3;HISTORIA;12/04/21;01/05/21;20;90;0;0;0;190
261;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;02/05/21;100;200;0;0;0;200
262;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;02/05/21;100;100;0;0;0;200
263;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;02/05/21;100;100;0;0;0;100
264;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;02/05/21;100;100;0;0;0;100
265;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;02/05/21;100;100;0;0;0;100
266;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/08/21;08/10/21;100;200;0;0;0;200
267;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/08/21;08/10/21;100;100;0;0;0;200
268;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/08/21;08/10/21;100;100;0;0;0;100
269;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/08/21;08/10/21;100;100;0;0;0;100
270;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/08/21;08/10/21;100;100;0;0;0;100
271;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/05/21;30/06/21;100;200;0;0;0;200
272;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/05/21;30/06/21;100;100;0;0;0;200
273;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/05/21;30/06/21;100;100;0;0;0;100
274;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/05/21;30/06/21;100;100;0;0;0;100
275;487880;13;2021;PSS;PROFESSOR SUBSTITUTO;134;EMEIF CIRO PIMENTA;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/05/21;30/06/21;100;100;0;0;0;100
276;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;24;EMEIF ALZIRA PERNAMBUCO;J11101;1;MANHA;67;JARDIM I;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;200;0;0;0;200
277;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;24;EMEIF ALZIRA PERNAMBUCO;J11101;1;MANHA;67;JARDIM I;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;0;0;0;0;200
278;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;24;EMEIF ALZIRA PERNAMBUCO;J11101;1;MANHA;67;JARDIM I;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;0;0;0;0;200
279;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;24;EMEIF ALZIRA PERNAMBUCO;J11101;1;MANHA;67;JARDIM I;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;0;0;0;0;200
280;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;273;EMEI PROFA RITA NERY;J22304;3;TARDE  ;69;JARDIM II;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;200;0;0;0;200
281;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;273;EMEI PROFA RITA NERY;J22304;3;TARDE  ;69;JARDIM II;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;0;0;0;0;200
282;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;273;EMEI PROFA RITA NERY;J22304;3;TARDE  ;69;JARDIM II;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;0;0;0;0;200
283;490342;19;2021;PSS;PROFESSOR SUBSTITUTO;273;EMEI PROFA RITA NERY;J22304;3;TARDE  ;69;JARDIM II;16;EDUC GERAL INFANTIL;16/06/21;26/08/21;100;0;0;0;0;200
284;487937;15;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;60
285;487937;15;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;100
286;487937;15;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;60
287;487937;15;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;60
288;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;01/07/21;31/07/21;100;0;0;0;0;100
289;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;01/07/21;31/07/21;100;0;0;0;0;200
290;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;01/07/21;31/07/21;100;0;0;0;0;100
291;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;01/07/21;31/07/21;100;0;0;0;0;100
292;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;100
293;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;200
294;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;100
295;487970;12;2021;PSS;PROFESSOR SUBSTITUTO;2;EMEF ALFREDO CHAVES;T22402;4;NOITE  ;58;2ª TOTALIDADE;17;EDUC GERAL FUNDAMENTAL;12/04/21;30/06/21;100;0;0;0;0;100
296;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/04/21;21/05/21;100;0;0;0;0;200
297;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/04/21;21/05/21;100;0;0;0;0;100
298;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/04/21;21/05/21;100;0;0;0;0;100
299;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/04/21;21/05/21;100;0;0;0;0;60
300;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/05/21;100;0;0;0;0;200
301;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/05/21;100;0;0;0;0;100
302;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/05/21;100;0;0;0;0;100
303;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/05/21;100;0;0;0;0;60
304;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/05/21;30/06/21;100;0;0;0;0;200
305;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/05/21;30/06/21;100;0;0;0;0;100
306;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/05/21;30/06/21;100;0;0;0;0;100
307;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13304;3;TARDE  ;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;22/05/21;30/06/21;100;0;0;0;0;60
308;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/06/21;05/08/21;100;0;0;0;0;200
309;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/06/21;05/08/21;100;0;0;0;0;100
310;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/06/21;05/08/21;100;0;0;0;0;100
311;487961;13;2021;PSS;PROFESSOR SUBSTITUTO;136;EMEIF EDSON LUIS;C13101;1;MANHA;14;CICLO I  -  3º ANO;17;EDUC GERAL FUNDAMENTAL;01/06/21;05/08/21;100;0;0;0;0;60
312;500771;14;2021;PSS;PROFESSOR SUBSTITUTO;7;EMEIF ANTONIO CARVALHO BRASIL;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;09/08/21;28/09/21;100;0;0;0;0;60
313;500771;14;2021;PSS;PROFESSOR SUBSTITUTO;7;EMEIF ANTONIO CARVALHO BRASIL;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;09/08/21;28/09/21;100;0;0;0;0;60
314;500771;14;2021;PSS;PROFESSOR SUBSTITUTO;7;EMEIF ANTONIO CARVALHO BRASIL;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;09/08/21;28/09/21;100;0;0;0;0;60
315;500771;14;2021;PSS;PROFESSOR SUBSTITUTO;7;EMEIF ANTONIO CARVALHO BRASIL;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;09/08/21;28/09/21;100;0;0;0;0;100
316;500771;14;2021;PSS;PROFESSOR SUBSTITUTO;7;EMEIF ANTONIO CARVALHO BRASIL;C22101;1;MANHA;16;CICLO II  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;09/08/21;28/09/21;100;0;0;0;0;100
317;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
318;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
319;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
320;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
321;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
322;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
323;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
324;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
325;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
326;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;12/04/21;31/10/21;100;0;0;0;0;200
327;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
328;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
329;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
330;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
331;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
332;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
333;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
334;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
335;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
336;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/11/21;30/11/21;100;0;0;0;0;200
337;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
338;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
339;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
340;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
341;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C12304;3;TARDE  ;13;CICLO I  -  2º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
342;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
343;500895;15;2021;PSS;PROFESSOR SUBSTITUTO;23;EMEIF SILVIO NASCIMENTO;C11102;1;MANHA;10;CICLO I  -  1º ANO;17;EDUC GERAL FUNDAMENTAL;01/12/21;30/12/21;100;0;0;0;0;200
