UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PI;PORTO;232;0;25;2;81;11;0;2;6;912;148;5;0;3;4;0;0;0;2;0;0
PI;PORTO ALEGRE DO PIAUI;53;0;11;0;21;3;0;0;4;215;15;3;0;1;0;0;0;0;0;0;0
PI;PRATA DO PIAUI;101;0;12;0;38;4;0;4;1;376;32;3;0;2;0;0;0;0;1;0;0
PI;QUEIMADA NOVA;527;0;126;1;346;28;0;0;15;845;47;36;0;10;1;0;0;0;0;1;1
PI;REDENCAO DO GURGUEIA;325;0;23;5;130;14;0;0;8;1271;97;19;0;19;6;0;0;0;0;0;5
PI;REGENERACAO;942;0;119;18;387;29;0;4;9;2743;666;18;0;27;25;0;0;0;0;0;5
PI;RIACHO FRIO;73;0;8;1;46;2;0;0;3;364;55;5;0;6;3;0;0;0;0;0;0
PI;RIBEIRA DO PIAUI;55;0;10;0;52;2;0;0;4;92;21;3;0;5;0;0;0;0;1;0;0
PI;RIBEIRO GONCALVES;159;0;39;8;127;6;0;0;1;618;251;4;0;4;9;0;0;0;0;1;4
PI;RIO GRANDE DO PIAUI;281;0;34;1;99;5;0;0;9;570;57;7;0;5;0;0;0;0;0;0;2
PI;SANTA CRUZ DO PIAUI;368;0;32;1;128;13;0;0;25;697;38;6;0;3;1;0;0;0;1;1;4
PI;SANTA CRUZ DOS MILAGRES;125;0;6;1;36;3;0;3;0;431;51;6;0;1;0;0;0;0;1;0;1
PI;SANTA FILOMENA;101;0;47;19;97;7;0;0;0;593;186;11;0;9;24;0;0;0;0;0;4
PI;SANTA LUZ;263;0;19;0;93;12;0;0;4;619;136;6;0;0;0;0;0;0;1;0;1
PI;SANTA ROSA DO PIAUI;174;0;21;0;71;8;0;1;14;527;177;12;0;5;1;0;0;0;1;0;5
PI;SANTANA DO PIAUI;208;0;29;1;91;6;0;0;10;872;146;16;0;1;0;0;0;0;0;0;0
PI;SANTO ANTONIO DE LISBOA;498;0;65;15;245;17;0;0;16;689;91;6;0;16;25;0;0;0;0;0;9
PI;SANTO ANTONIO DOS MILAGRES;73;0;3;0;11;3;0;0;3;199;22;2;0;1;0;0;0;0;0;0;2
PI;SANTO INACIO DO PIAUI;164;0;16;0;61;6;0;2;8;471;57;2;0;3;0;0;0;0;1;0;1
PI;SAO BRAZ DO PIAUI;208;0;27;1;100;6;0;1;4;389;20;7;0;0;0;0;0;0;0;0;1
PI;SAO FELIX DO PIAUI;160;0;9;0;42;6;0;0;2;322;67;4;0;4;0;0;0;0;1;0;0
PI;SAO FRANCISCO DE ASSIS DO PIAU;244;0;27;0;137;8;0;0;10;450;12;8;0;1;0;0;0;0;0;0;1
PI;SAO FRANCISCO DO PIAUI;173;0;17;0;57;6;0;0;13;575;37;8;0;7;0;0;0;0;0;0;2
PI;SAO GONCALO DO GURGUEIA;78;0;7;1;42;2;0;0;3;285;25;3;0;7;0;0;0;0;0;0;1
PI;SAO GONCALO DO PIAUI;326;0;22;1;85;5;0;4;6;1010;200;4;0;2;4;0;0;0;1;1;5
PI;SAO JOAO DA CANABRAVA;266;0;22;0;128;7;0;0;14;612;88;7;0;0;0;0;0;0;0;0;2
PI;SAO JOAO DA FRONTEIRA;143;0;9;2;76;5;0;1;4;240;38;13;0;0;3;0;0;0;1;0;1
PI;SAO JOAO DA SERRA;174;0;27;0;78;5;0;4;1;852;138;6;0;3;0;0;0;0;0;1;1
PI;SAO JOAO DA VARJOTA;207;0;8;7;48;6;0;2;10;472;46;3;0;7;19;0;0;0;0;1;2
