UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
MG;CAPIM BRANCO;QUADRICICLO;0
MG;CAPINOPOLIS;QUADRICICLO;0
MG;CAPITAO ANDRADE;QUADRICICLO;0
MG;CAPITAO ENEAS;QUADRICICLO;0
MG;CAPITOLIO;QUADRICICLO;0
MG;CAPUTIRA;QUADRICICLO;0
MG;CARAI;QUADRICICLO;0
MG;CARANAIBA;QUADRICICLO;0
MG;CARANDAI;QUADRICICLO;0
MG;CARANGOLA;QUADRICICLO;0
MG;CARATINGA;QUADRICICLO;0
MG;CARBONITA;QUADRICICLO;0
MG;CAREACU;QUADRICICLO;0
MG;CARLOS CHAGAS;QUADRICICLO;0
MG;CARMESIA;QUADRICICLO;0
MG;CARMO DA CACHOEIRA;QUADRICICLO;0
MG;CARMO DA MATA;QUADRICICLO;0
MG;CARMO DE MINAS;QUADRICICLO;0
MG;CARMO DO CAJURU;QUADRICICLO;0
MG;CARMO DO PARANAIBA;QUADRICICLO;0
MG;CARMO DO RIO CLARO;QUADRICICLO;0
MG;CARMOPOLIS DE MINAS;QUADRICICLO;0
MG;CARNEIRINHO;QUADRICICLO;0
MG;CARRANCAS;QUADRICICLO;0
MG;CARVALHOPOLIS;QUADRICICLO;0
MG;CARVALHOS;QUADRICICLO;0
MG;CASA GRANDE;QUADRICICLO;0
MG;CASCALHO RICO;QUADRICICLO;0
MG;CASSIA;QUADRICICLO;0
MG;CATAGUASES;QUADRICICLO;0
MG;CATAS ALTAS;QUADRICICLO;0
MG;CATAS ALTAS DA NORUEGA;QUADRICICLO;0
MG;CATUJI;QUADRICICLO;0
MG;CATUTI;QUADRICICLO;0
MG;CAXAMBU;QUADRICICLO;0
MG;CEDRO DO ABAETE;QUADRICICLO;0
MG;CENTRAL DE MINAS;QUADRICICLO;0
MG;CENTRALINA;QUADRICICLO;0
MG;CHACARA;QUADRICICLO;0
MG;CHALE;QUADRICICLO;0
MG;CHAPADA DO NORTE;QUADRICICLO;0
MG;CHAPADA GAUCHA;QUADRICICLO;0
MG;CHIADOR;QUADRICICLO;0
MG;CIPOTANEA;QUADRICICLO;0
MG;CLARAVAL;QUADRICICLO;0
MG;CLARO DOS POCOES;QUADRICICLO;0
MG;CLAUDIO;QUADRICICLO;0
MG;COIMBRA;QUADRICICLO;0
MG;COLUNA;QUADRICICLO;0
MG;COMENDADOR GOMES;QUADRICICLO;0
MG;COMERCINHO;QUADRICICLO;0
MG;CONCEICAO DA APARECIDA;QUADRICICLO;0
MG;CONCEICAO DA BARRA DE MINAS;QUADRICICLO;0
MG;CONCEICAO DAS ALAGOAS;QUADRICICLO;0
MG;CONCEICAO DAS PEDRAS;QUADRICICLO;0
MG;CONCEICAO DE IPANEMA;QUADRICICLO;0
MG;CONCEICAO DO MATO DENTRO;QUADRICICLO;0
MG;CONCEICAO DO PARA;QUADRICICLO;0
MG;CONCEICAO DO RIO VERDE;QUADRICICLO;0
MG;CONCEICAO DOS OUROS;QUADRICICLO;0
MG;CONEGO MARINHO;QUADRICICLO;0
MG;CONFINS;QUADRICICLO;0
MG;CONGONHAL;QUADRICICLO;0
MG;CONGONHAS;QUADRICICLO;0
MG;CONGONHAS DO NORTE;QUADRICICLO;0
MG;CONQUISTA;QUADRICICLO;0
MG;CONSELHEIRO PENA;QUADRICICLO;0
MG;CONSOLACAO;QUADRICICLO;0
MG;CONTAGEM;QUADRICICLO;0
MG;COQUEIRAL;QUADRICICLO;0
MG;CORACAO DE JESUS;QUADRICICLO;0
MG;CORDISBURGO;QUADRICICLO;0
MG;CORDISLANDIA;QUADRICICLO;0
MG;CORINTO;QUADRICICLO;0
MG;COROACI;QUADRICICLO;0
MG;COROMANDEL;QUADRICICLO;0
MG;CORONEL MURTA;QUADRICICLO;0
MG;CORONEL PACHECO;QUADRICICLO;0
MG;CORONEL XAVIER CHAVES;QUADRICICLO;0
MG;CORREGO DANTA;QUADRICICLO;0
